Client_ID,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
768805383,Existing Customer,45,M,High School,Married,$60K - $80K,39,12691,1144,0.061
818770008,Existing Customer,49,F,Graduate,Single,Less than $40K,44,8256,1291,0.105
713982108,Existing Customer,51,M,Graduate,Married,$80K - $120K,36,3418,1887,0
769911858,Existing Customer,40,F,High School,Unknown,Less than $40K,34,3313,1171,0.76
709106358,Existing Customer,40,M,Uneducated,Married,$60K - $80K,21,4716,816,0
713061558,Existing Customer,44,M,Graduate,Married,$40K - $60K,36,4010,1088,0.311
810347208,Existing Customer,51,M,Unknown,Married,$120K +,46,34516,1330,0.066
818906208,Existing Customer,32,M,High School,Unknown,$60K - $80K,27,29081,1538,0.048
710930508,Existing Customer,37,M,Uneducated,Single,$60K - $80K,36,22352,1350,0.113
719661558,Existing Customer,48,M,Graduate,Single,$80K - $120K,36,11656,1441,0.144
708790833,Existing Customer,42,M,Uneducated,Unknown,$120K +,31,6748,1201,0.217
710821833,Existing Customer,65,M,Unknown,Married,$40K - $60K,54,9095,1314,0.174
710599683,Existing Customer,56,M,College,Single,$80K - $120K,36,11751,1539,0
816082233,Existing Customer,35,M,Graduate,Unknown,$60K - $80K,30,8547,1311,0.195
712396908,Existing Customer,57,F,Graduate,Married,Less than $40K,48,2436,1570,0.279
714885258,Existing Customer,44,M,Unknown,Unknown,$80K - $120K,37,4234,1348,0.23
709967358,Existing Customer,48,M,Post-Graduate,Single,$80K - $120K,36,30367,1671,0.078
753327333,Existing Customer,41,M,Unknown,Married,$80K - $120K,34,13535,1028,0.095
806160108,Existing Customer,61,M,High School,Married,$40K - $60K,56,3193,1336,0.788
709327383,Existing Customer,45,F,Graduate,Married,Unknown,37,14470,1207,0.08
806165208,Existing Customer,47,M,Doctorate,Divorced,$60K - $80K,42,20979,1178,0.086
708508758,Attrited Customer,62,F,Graduate,Married,Less than $40K,49,1438.3,692,0
784725333,Existing Customer,41,M,High School,Married,$40K - $60K,33,4470,931,0.152
811604133,Existing Customer,47,F,Unknown,Single,Less than $40K,36,2492,1126,0.626
789124683,Existing Customer,54,M,Unknown,Married,$80K - $120K,42,12217,1110,0
771071958,Existing Customer,41,F,Graduate,Single,Less than $40K,28,7768,1051,0.215
720466383,Existing Customer,59,M,High School,Unknown,$40K - $60K,46,14784,1197,0.093
804424383,Existing Customer,63,M,Unknown,Married,$60K - $80K,56,10215,1904,0.099
718813833,Existing Customer,44,F,Uneducated,Single,Unknown,34,10100,1052,0
806624208,Existing Customer,47,M,High School,Married,$40K - $60K,42,4785,1045,0.285
778348233,Existing Customer,53,M,Unknown,Married,$80K - $120K,33,2753,1038,0.658
712991808,Existing Customer,53,M,Uneducated,Married,$60K - $80K,48,2451,1596,0.69
709029408,Existing Customer,41,M,Graduate,Married,$60K - $80K,36,8923,1589,0.282
788658483,Existing Customer,53,F,College,Married,Less than $40K,38,2650,1411,0.562
787937058,Existing Customer,58,M,Graduate,Married,$80K - $120K,49,12555,1291,0.135
715318008,Existing Customer,55,F,College,Single,Less than $40K,36,3520,1407,0.544
713962233,Existing Customer,55,F,Graduate,Married,Less than $40K,36,3035,1877,0.757
785432733,Existing Customer,42,F,High School,Married,Less than $40K,36,15433,966,0
715190283,Existing Customer,57,F,Graduate,Unknown,$40K - $60K,49,3672,1464,0.241
708300483,Attrited Customer,66,F,Doctorate,Married,Unknown,56,7882,704,0.077
827111283,Existing Customer,45,M,Graduate,Single,$80K - $120K,41,32426,1109,0.018
758551608,Existing Customer,51,M,Unknown,Married,$40K - $60K,44,6205,1347,0.355
773146383,Existing Customer,50,F,College,Single,$40K - $60K,43,17304,1756,0.145
778493808,Existing Customer,49,M,High School,Married,$60K - $80K,37,3906,1756,0
720572508,Existing Customer,38,F,Graduate,Single,Unknown,28,9830,1042,0.209
712661433,Existing Customer,49,M,Uneducated,Single,$80K - $120K,30,34516,1444,0
789172683,Existing Customer,56,M,Doctorate,Married,$60K - $80K,45,2283,1741,0.626
738406533,Existing Customer,59,M,Doctorate,Married,$40K - $60K,52,2548,1719,0.793
799723908,Existing Customer,46,M,High School,Married,$80K - $120K,40,19458,1217,0.074
771490833,Existing Customer,52,M,College,Single,$80K - $120K,40,4745,1140,0.259
720756708,Existing Customer,52,F,Unknown,Married,Less than $40K,41,2622,1878,0.591
779471883,Attrited Customer,54,F,Graduate,Married,Less than $40K,40,1438.3,705,0.562
711525033,Existing Customer,66,F,High School,Married,Less than $40K,54,3171,1946,0.687
712813458,Existing Customer,49,M,Unknown,Married,$120K +,36,19763,1414,0.127
714374133,Attrited Customer,56,M,Graduate,Married,$120K +,36,15769,602,0
717891558,Existing Customer,49,F,Graduate,Unknown,Less than $40K,36,3298,1052,0.667
716632758,Existing Customer,49,F,Graduate,Single,Less than $40K,36,2802,1295,0.843
768563658,Existing Customer,56,M,Uneducated,Married,$40K - $60K,50,4458,1424,0.422
711427458,Existing Customer,44,F,Graduate,Married,Unknown,35,6273,1359,0.156
714091983,Existing Customer,42,M,High School,Single,$60K - $80K,34,3336,1168,0.525
787584108,Existing Customer,55,M,Unknown,Married,$80K - $120K,47,3436,1097,0.587
712030833,Attrited Customer,48,M,Graduate,Married,$60K - $80K,35,34516,691,0
711481533,Existing Customer,39,M,High School,Divorced,$60K - $80K,33,5926,1316,0.211
710082708,Existing Customer,44,M,Post-Graduate,Single,$120K +,32,23957,1276,0.088
